preço,quartos,area,zona_norte,zona_oeste,zona_sul
2270.0,3.0,67.0,1,0,0
1900.0,2.0,68.0,1,0,0
2897.0,3.0,122.0,1,0,0
1030.0,1.0,50.0,1,0,0
1740.0,2.0,70.0,1,0,0
4030.0000000000014,5.0,480.0,1,0,0
1670.0,3.0,68.0,1,0,0
2100.0,2.0,65.0,1,0,0
7280.0,4.0,250.0,1,0,0
1900.0,3.0,65.0,1,0,0
1210.0,1.0,32.0,1,0,0
1220.0,1.0,30.0,1,0,0
1700.0,2.0,63.0,1,0,0
2400.0,1.0,49.0,1,0,0
2500.0,2.0,300.0,1,0,0
1400.0,2.0,70.0,0,0,1
2000.0,2.0,40.0,0,0,1
1100.0,1.0,31.0,0,0,1
2350.0,1.0,38.0,0,0,1
2700.0,1.0,46.0,0,0,1
7500.0,4.0,158.0,0,0,1
1500.0,3.0,70.0,0,0,1
1243.0,1.0,50.0,0,0,1
7500.0,2.0,84.0,0,0,1
1650.0,3.0,66.0,0,0,1
1490.0,2.0,59.0,0,0,1
1750.0,2.0,82.0,0,0,1
3880.0,3.0,200.0,0,0,1
3000.0,1.0,44.0,0,0,1
3200.0,3.0,120.0,0,0,1
1750.0,2.0,150.0,0,0,1
2000.0,2.0,47.0,0,0,1
1450.0,2.0,45.0,0,0,1
1750.0,1.0,55.0,0,0,1
2700.0,2.0,90.0,0,0,1
2805.0,3.0,71.0,0,0,1
1124.0,2.0,50.0,0,0,1
2000.0,3.0,116.0,0,0,1
1140.0,2.0,50.0,0,0,1
2000.0,2.0,74.0,0,0,1
5500.0,3.0,117.0,0,0,1
1500.0,2.0,100.0,0,0,1
1140.0,2.0,56.0,0,0,1
1100.0,2.0,48.0,0,0,1
3190.0,1.0,48.0,0,0,1
2145.0,4.0,126.0,0,0,1
1930.0,2.0,63.0,0,0,1
4070.0000000000014,4.0,244.0,0,0,1
1931.0,2.0,82.0,0,0,1
1100.0,1.0,33.0,0,0,1
2500.0,2.0,50.0,0,0,1
2000.0,1.0,48.0,0,0,1
2160.0,2.0,74.0,0,0,1
2800.0,2.0,50.0,0,0,1
1470.0,2.0,48.0,0,0,1
1830.0,2.0,56.0,0,0,1
2400.0,1.0,54.0,0,0,1
4400.0,1.0,49.0,0,0,1
4730.0,2.0,79.0,0,0,1
2800.0,3.0,65.0,0,0,1
1520.0,1.0,35.0,0,0,1
2420.0,1.0,45.0,0,0,1
4000.0,3.0,200.0,0,0,1
1250.0,2.0,60.0,0,0,1
2680.0,3.0,200.0,0,0,1
1500.0,2.0,90.0,0,0,1
2750.0,2.0,64.0,0,0,1
3200.0,2.0,67.0,0,0,1
2240.0,2.0,57.0,0,0,1
1430.0,2.0,53.0,0,0,1
4000.0,1.0,30.0,0,0,1
1658.0,1.0,56.0,0,0,1
6000.0,3.0,125.0,0,0,1
1450.0,1.0,17.0,0,0,1
2390.0,1.0,30.0,0,0,1
3800.0,2.0,95.0,0,0,1
3180.0,2.0,65.0,0,0,1
2581.0,1.0,43.0,0,0,1
1200.0,2.0,62.0,0,0,1
2200.0,4.0,150.0,0,0,1
3300.0,3.0,123.0,0,0,1
3400.0,2.0,55.0,0,0,1
2267.0,1.0,53.0,0,0,1
